auth_user_id,exam_name,user_exam_starts_at,actual_mark_percentage,previous_actual_mark_percentage,performance_trend
623a318cfb492fa5df0c2456,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:30:59.666000 UTC,75.0,,
623a318cfb492fa5df0c2456,Monthly Exam 1 (MCQ),2025-02-02 10:10:20.022000 UTC,62.5,75.0,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 15:02:34.054000 UTC,45.0,62.5,Declined
623a318cfb492fa5df0c2456,Monthly Exam 1 (MCQ),2025-02-10 16:16:13.987000 UTC,0.0,45.0,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - February 2,2025-02-16 10:48:33.639000 UTC,62.5,0.0,Improved
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - February 3,2025-02-23 11:07:53.646000 UTC,65.0,62.5,Improved
623a318cfb492fa5df0c2456,Class 10 - Monthly MCQ Exam - February,2025-03-02 06:01:23.916000 UTC,83.33,65.0,Improved
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - March 1,2025-03-09 10:29:52.936000 UTC,80.0,83.33,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - March 2,2025-03-24 22:46:46.670000 UTC,65.0,80.0,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 16:00:43.505000 UTC,95.83,65.0,Improved
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 05:10:33.384000 UTC,83.33,95.83,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - April 1,2025-04-25 08:45:50.292000 UTC,0.0,83.33,Declined
623a318cfb492fa5df0c2456,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-27 03:14:06.838000 UTC,100.0,0.0,Improved
623a318efb492fa5df0c24df,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 10:04:40.525000 UTC,100.0,,
623a318efb492fa5df0c24df,Monthly Exam 1 (MCQ),2025-02-01 13:36:31.019000 UTC,83.33,100.0,Declined
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - February 1,2025-02-09 10:44:28.344000 UTC,95.0,83.33,Improved
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - February 2,2025-02-16 07:57:18.899000 UTC,84.17,95.0,Declined
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - February 3,2025-02-23 10:34:35.079000 UTC,85.0,84.17,Improved
623a318efb492fa5df0c24df,Class 10 - Monthly MCQ Exam - February,2025-03-02 11:53:16.336000 UTC,100.0,85.0,Improved
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - March 1,2025-03-09 11:55:23.270000 UTC,95.0,100.0,Declined
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - March 2,2025-03-16 12:06:01.905000 UTC,95.0,95.0,Same
623a318efb492fa5df0c24df,Class 10 - Monthly MCQ Exam - March,2025-03-23 12:03:24.115000 UTC,100.0,95.0,Improved
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - April 1,2025-04-13 11:10:48.683000 UTC,83.33,100.0,Declined
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 12:06:43.848000 UTC,91.67,83.33,Improved
623a318efb492fa5df0c24df,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-27 11:12:12.309000 UTC,100.0,91.67,Improved
623a3243fb492fa5df0c6751,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 10:10:17.373000 UTC,50.0,,
